location,date,vaccine,total_vaccinations
Argentina,29/05/2021,Sinopharm/Beijing,3611450
Argentina,29/05/2021,Sputnik V,6860623
Argentina,30/05/2021,Oxford/AstraZeneca,2180920
Argentina,30/05/2021,Sinopharm/Beijing,3613073
Argentina,30/05/2021,Sputnik V,6928742
Argentina,31/05/2021,Oxford/AstraZeneca,2308155
Argentina,31/05/2021,Sinopharm/Beijing,3629982
Argentina,31/05/2021,Sputnik V,7083717
Argentina,1/06/2021,Oxford/AstraZeneca,2457256
Argentina,1/06/2021,Sinopharm/Beijing,3643544
Argentina,1/06/2021,Sputnik V,7236050
Argentina,2/06/2021,CanSino,9
Argentina,2/06/2021,Oxford/AstraZeneca,2620843
Argentina,2/06/2021,Sinopharm/Beijing,3656694
Argentina,2/06/2021,Sputnik V,7368767
Argentina,3/06/2021,Oxford/AstraZeneca,2843799
Argentina,3/06/2021,Sinopharm/Beijing,3668919
Argentina,3/06/2021,Sputnik V,7483337
Argentina,4/06/2021,Oxford/AstraZeneca,3148946
Argentina,4/06/2021,Sinopharm/Beijing,3684784
Argentina,4/06/2021,Sputnik V,7570628
Argentina,5/06/2021,Oxford/AstraZeneca,3426736
Argentina,5/06/2021,Sinopharm/Beijing,3689467
Argentina,5/06/2021,Sputnik V,7615042
Argentina,6/06/2021,Oxford/AstraZeneca,3614667
Argentina,6/06/2021,Sinopharm/Beijing,3691503
Argentina,6/06/2021,Sputnik V,7642488
Argentina,7/06/2021,Oxford/AstraZeneca,3894198
Argentina,7/06/2021,Sinopharm/Beijing,3700874
Argentina,7/06/2021,Sputnik V,7706886
Argentina,8/06/2021,Oxford/AstraZeneca,4171706
Argentina,8/06/2021,Sinopharm/Beijing,3708995
Argentina,8/06/2021,Sputnik V,7791270
Argentina,9/06/2021,CanSino,11
Argentina,9/06/2021,Moderna,14
Argentina,9/06/2021,Oxford/AstraZeneca,4430795
Argentina,9/06/2021,Pfizer/BioNTech,41
Argentina,9/06/2021,Sinopharm/Beijing,3715795
Argentina,9/06/2021,Sputnik V,7897817
Argentina,10/06/2021,Moderna,15
Argentina,10/06/2021,Oxford/AstraZeneca,4654745
Argentina,10/06/2021,Pfizer/BioNTech,42
Argentina,10/06/2021,Sinopharm/Beijing,3721853
Argentina,10/06/2021,Sputnik V,8002962
Argentina,11/06/2021,Oxford/AstraZeneca,4838971
Argentina,11/06/2021,Sinopharm/Beijing,3732594
Argentina,11/06/2021,Sputnik V,8174875
Argentina,12/06/2021,Oxford/AstraZeneca,4905001
Argentina,12/06/2021,Sinopharm/Beijing,3744679
Argentina,12/06/2021,Sputnik V,8281928
Argentina,13/06/2021,Oxford/AstraZeneca,4949664
Argentina,13/06/2021,Sinopharm/Beijing,3746505
Argentina,13/06/2021,Sputnik V,8318140
Argentina,14/06/2021,Oxford/AstraZeneca,5076609
Argentina,14/06/2021,Sinopharm/Beijing,3757144
Argentina,14/06/2021,Sputnik V,8418677
Argentina,15/06/2021,Oxford/AstraZeneca,5205981
Argentina,15/06/2021,Pfizer/BioNTech,43
Argentina,15/06/2021,Sinopharm/Beijing,3762930
Argentina,15/06/2021,Sputnik V,8541442
Argentina,16/06/2021,Oxford/AstraZeneca,5391761
Argentina,16/06/2021,Sinopharm/Beijing,3767746
Argentina,16/06/2021,Sputnik V,8638061
Argentina,17/06/2021,Moderna,16
Argentina,17/06/2021,Oxford/AstraZeneca,5620934
Argentina,17/06/2021,Sinopharm/Beijing,3774076
Argentina,17/06/2021,Sputnik V,8717029
Argentina,18/06/2021,Moderna,17
Argentina,18/06/2021,Oxford/AstraZeneca,5945750
Argentina,18/06/2021,Pfizer/BioNTech,46
Argentina,18/06/2021,Sinopharm/Beijing,3779979
Argentina,18/06/2021,Sputnik V,8785720
Argentina,19/06/2021,Oxford/AstraZeneca,6132311
Argentina,19/06/2021,Sinopharm/Beijing,3782552
Argentina,19/06/2021,Sputnik V,8829229
Argentina,20/06/2021,Oxford/AstraZeneca,6210270
Argentina,20/06/2021,Sinopharm/Beijing,3782850
Argentina,20/06/2021,Sputnik V,8850197
Argentina,21/06/2021,Oxford/AstraZeneca,6348607
